City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
emerald,90,AU,1579889602,100,-23.53,148.17,77.0,4.7
talnakh,75,RU,1579889567,77,69.49,88.4,6.8,6.71
alcudia,0,ES,1579889603,82,39.85,3.12,57.2,3.36
sisimiut,98,GL,1579889603,87,66.94,-53.67,10.31,8.61
thai nguyen,75,VN,1579889603,94,21.59,105.84,68.0,6.93
tasiilaq,75,GL,1579889603,57,65.61,-37.64,19.4,31.09
nuuk,75,GL,1579889603,78,64.18,-51.72,12.2,10.29
niamtougou,22,TG,1579889604,7,9.77,1.11,91.4,8.05
port alfred,67,ZA,1579889604,96,-33.59,26.89,70.0,13.0
port blair,10,IN,1579889604,73,11.67,92.75,79.84,12.59
gorontalo,69,ID,1579889604,89,0.54,123.06,73.44,3.36
maceio,75,BR,1579889506,62,-9.67,-35.74,86.0,13.87
sinnamary,98,GF,1579889604,80,5.38,-52.95,79.47,12.48
zemio,94,CF,1579889604,24,5.03,25.14,72.77,3.74
qaanaaq,0,GL,1579889605,50,77.48,-69.36,-9.54,6.6
kodiak,1,US,1579889605,56,57.79,-152.41,15.8,18.34
saint george,1,US,1579889603,65,37.1,-113.58,51.01,3.36
yokadouma,100,CM,1579889605,19,3.52,15.05,74.95,2.66
dikson,100,RU,1579889605,96,73.51,80.55,-3.57,8.43
leningradskiy,0,RU,1579889605,70,69.38,178.42,-23.42,2.68
hovd,2,MN,1579889606,77,48.01,91.64,1.0,1.21
hede,100,CN,1579889606,76,33.77,120.25,42.31,15.82
toora-khem,96,RU,1579889606,87,52.47,96.11,4.3,2.75
bonavista,67,CA,1579889340,78,48.65,-53.11,30.0,8.99
porto belo,40,BR,1579889606,65,-27.16,-48.55,82.0,13.87
pangai,20,TO,1579889606,88,-19.8,-174.35,78.8,11.41
hithadhoo,53,MV,1579889607,76,-0.6,73.08,84.45,9.64
port macquarie,90,AU,1579889607,94,-31.43,152.92,73.4,1.12
drumheller,67,CA,1579889607,52,51.46,-112.71,37.99,7.25
mar del plata,20,AR,1579889319,41,-38.0,-57.56,91.99,23.04
bredasdorp,0,ZA,1579889394,77,-34.53,20.04,71.01,4.7
valleyview,100,CA,1579889607,86,55.07,-117.29,32.58,3.06
hasaki,75,JP,1579889607,80,35.73,140.83,39.2,4.7
maraa,68,BR,1579889608,39,-1.83,-65.37,99.3,2.46
saskylakh,100,RU,1579889526,87,71.92,114.08,-27.94,22.28
klaksvik,100,FO,1579889452,86,62.23,-6.59,39.2,9.17
meulaboh,50,ID,1579889608,68,4.14,96.13,84.67,1.32
lebyazhye,28,RU,1579889608,94,55.27,66.49,3.31,8.66
kefamenanu,100,ID,1579889609,93,-9.45,124.48,72.34,2.35
chara,29,RU,1579889609,74,56.91,118.26,-19.82,0.98
cabo san lucas,40,MX,1579889609,77,22.89,-109.91,72.0,4.7
vanersborg,0,SE,1579889391,80,58.38,12.32,44.01,8.05
vila velha,90,BR,1579889542,88,-20.33,-40.29,79.0,10.29
severo-kurilsk,80,RU,1579889533,87,50.68,156.12,14.31,22.82
guerrero negro,100,MX,1579889609,45,27.98,-114.06,67.35,3.22
monster,90,NL,1579889610,93,52.03,4.17,39.99,6.93
bambous virieux,75,MU,1579889610,88,-20.34,57.76,81.0,11.41
upernavik,30,GL,1579889610,89,72.79,-56.15,-13.49,4.54
isetskoye,0,RU,1579889610,93,56.49,65.32,4.8,9.35
khatanga,97,RU,1579889610,88,71.97,102.5,-26.88,9.33
kastamonu,45,TR,1579889610,93,41.5,33.67,19.9,3.42
dunyapur,14,PK,1579889610,76,29.8,71.72,57.2,3.85
zaranj,90,AF,1579889463,93,30.97,61.88,55.4,11.41
piacabucu,67,BR,1579889611,64,-10.41,-36.43,85.08,13.91
qandala,96,SO,1579889611,79,11.47,49.87,74.03,2.57
sosnovka,100,RU,1579889611,95,56.26,51.28,11.62,7.76
yumen,9,CN,1579889425,53,40.28,97.2,19.06,9.69
marathon,90,US,1579889429,86,44.9,-89.77,35.01,5.82
aykhal,75,RU,1579889612,74,66.0,111.5,-23.8,6.71
georgetown,20,MY,1579889612,61,5.41,100.34,82.4,4.7
avera,90,US,1579889612,100,33.19,-82.53,62.6,5.82
sitka,90,US,1579889612,98,57.05,-135.33,33.8,10.29
sumenep,3,ID,1579889500,69,-7.02,113.87,82.38,1.01
touros,75,BR,1579889613,62,-5.2,-35.46,86.0,12.75
santa fe,3,AR,1579889613,31,-31.63,-60.7,95.0,3.0
yaan,58,NG,1579889613,8,7.38,8.57,83.44,5.21
evensk,100,RU,1579889613,90,61.95,159.23,-9.45,17.43
lishu,0,CN,1579889613,69,43.3,124.33,0.88,4.25
tadine,10,NC,1579889613,83,-21.55,167.88,74.95,11.34
novo horizonte,67,BR,1579889613,63,-21.47,-49.22,82.78,9.26
kapaa,1,US,1579889321,88,22.08,-159.32,66.2,9.17
faanui,17,PF,1579889614,74,-16.48,-151.75,82.4,14.54
altay,53,CN,1579889614,41,47.87,88.12,14.31,6.11
ilulissat,75,GL,1579889614,57,69.22,-51.1,19.4,16.11
griffith,90,US,1579889350,100,41.53,-87.42,39.2,3.49
lydenburg,63,ZA,1579889614,97,-25.1,30.46,59.99,2.06
fairview,1,US,1579889614,37,40.81,-74.0,54.0,4.7
mangan,10,IN,1579889615,25,27.52,88.53,32.63,6.6
menongue,43,AO,1579889615,68,-14.66,17.69,70.38,2.95
kermanshah,75,IR,1579889615,59,34.31,47.06,37.4,11.41
prince rupert,100,CA,1579889419,85,54.32,-130.32,43.14,15.41
olafsvik,100,IS,1579889615,79,64.89,-23.71,31.15,10.94
itarema,12,BR,1579889616,54,-2.92,-39.92,88.75,13.09
okato,13,NZ,1579889616,93,-39.2,173.88,55.0,1.01
fairbanks,90,US,1579889481,76,64.84,-147.72,-4.0,1.23
kenai,1,US,1579889616,83,60.55,-151.26,12.99,7.56
wentzville,90,US,1579889616,100,38.81,-90.85,37.4,6.93
nizhniy kuranakh,82,RU,1579889526,91,58.84,125.49,-31.86,2.08
pichayevo,100,RU,1579889617,90,53.24,42.2,27.88,16.13
pangody,90,RU,1579889617,96,65.85,74.49,6.37,3.15
brezovo,5,BG,1579889617,63,42.35,25.08,33.01,4.7
vakhrushev,100,RU,1579889617,81,48.98,142.97,0.34,8.88
galesong,20,ID,1579889617,94,-5.32,119.37,77.0,3.36
isangel,72,VU,1579889617,85,-19.55,169.27,76.3,11.05
owando,23,CG,1579889618,29,-0.48,15.9,79.2,0.72
ucluelet,90,CA,1579889489,93,48.93,-125.55,48.2,3.36
saint-philippe,100,RE,1579889618,94,-21.36,55.77,78.8,16.11
carnarvon,0,AU,1579889618,61,-24.87,113.63,80.6,17.22
tazovskiy,97,RU,1579889619,95,67.47,78.7,6.06,7.07
kimbe,80,PG,1579889404,94,-5.55,150.14,75.56,2.26
lexington,90,US,1579889596,93,37.99,-84.48,48.99,5.82
ukiah,90,US,1579889619,87,39.15,-123.21,55.0,1.23
westport,1,US,1579889362,56,41.14,-73.36,52.0,8.05
acarau,12,BR,1579889619,54,-2.89,-40.12,88.75,13.09
bilma,0,NE,1579889586,11,18.69,12.92,66.11,7.25
qaqortoq,90,GL,1579889620,79,60.72,-46.03,26.6,22.75
rosetown,86,CA,1579889620,94,51.55,-108.0,21.99,4.25
tigil,100,RU,1579889620,94,57.8,158.67,2.48,12.86
sangar,51,RU,1579889620,98,63.92,127.47,-45.27,2.57
pevek,0,RU,1579889367,97,69.7,170.31,-27.89,1.81
honiara,20,SB,1579889620,100,-9.43,159.95,73.4,2.64
creston,75,US,1579889620,100,41.06,-94.36,32.0,18.34
tateyama,100,JP,1579889621,52,34.98,139.87,46.4,21.92
sao jose da coroa grande,70,BR,1579889338,78,-8.9,-35.15,81.93,14.72
terrace bay,90,CA,1579889621,86,48.78,-87.1,26.6,3.36
khani,75,GE,1579889621,74,41.96,42.96,35.6,11.41
jiazi,60,CN,1579889621,84,22.88,116.07,63.12,9.46
pemangkat,81,ID,1579889595,86,1.17,108.97,75.69,5.03
mayo,90,US,1579889622,81,38.89,-76.51,52.0,3.36
columbia,90,US,1579889622,82,34.0,-81.03,66.2,11.41
hami,0,CN,1579889438,52,42.8,93.45,13.86,1.03
loiza,90,PR,1579889622,94,18.43,-65.88,82.99,10.29
biak,33,ID,1579889622,69,-0.91,122.88,81.28,3.47
kathmandu,40,NP,1579889463,93,27.72,85.32,42.8,2.24
madang,74,PG,1579889623,83,-5.22,145.8,81.93,12.08
san ramon,90,US,1579889585,82,37.78,-121.98,57.99,3.13
ayagoz,81,KZ,1579889623,67,47.97,80.44,15.31,2.1
aklavik,90,CA,1579889623,76,68.22,-135.01,-4.0,10.29
ballina,40,AU,1579889623,88,-28.87,153.57,80.6,10.29
hamilton,90,US,1579889348,93,39.18,-84.53,46.4,4.7
villa carlos paz,13,AR,1579889624,46,-31.42,-64.5,96.01,12.75
mahebourg,75,MU,1579889624,88,-20.41,57.7,81.0,11.41
flinders,90,AU,1579889624,100,-34.58,150.86,73.99,4.7
paliyad,0,IN,1579889624,39,22.25,71.57,64.81,9.01
tuatapere,100,NZ,1579889624,95,-46.13,167.68,59.0,4.0
college,90,US,1579889625,76,64.86,-147.8,-2.99,2.66
narsaq,90,GL,1579889625,79,60.92,-46.05,26.6,4.36
fort nelson,90,CA,1579889625,92,58.81,-122.7,8.6,4.7
caconda,100,AO,1579889625,90,-13.73,15.07,65.84,4.16
tena,75,EC,1579889625,74,-0.98,-77.82,86.0,2.24
high rock,75,BS,1579889626,64,26.62,-78.28,75.2,8.05
knysna,20,ZA,1579889626,83,-34.04,23.05,64.4,6.93
pangnirtung,20,CA,1579889626,67,66.15,-65.71,-27.4,3.2
severobaykalsk,100,RU,1579889626,92,55.65,109.32,11.61,8.57
rio branco do sul,75,BR,1579889626,68,-25.19,-49.31,71.6,19.46
port hardy,75,CA,1579889609,93,50.7,-127.42,44.6,6.93
coihaique,75,CL,1579889627,55,-45.58,-72.07,64.4,10.29
galiakot,0,IN,1579889627,34,23.52,74.0,62.89,3.69
sicamous,90,CA,1579889627,99,50.83,-118.99,37.0,3.36
verkhnyaya sinyachikha,96,RU,1579889627,90,57.98,61.67,9.23,7.78
ginda,0,IN,1579889627,40,30.69,78.49,41.77,4.18
kapoeta,52,SS,1579889628,18,4.77,33.59,84.83,4.14
xining,26,CN,1579889628,84,36.62,101.77,13.1,2.59
severka,40,RU,1579889628,78,56.87,60.3,15.8,13.42
ankang,100,CN,1579889628,94,32.68,109.02,33.49,2.82
san juan,53,AR,1579889628,17,-31.54,-68.54,97.38,15.77
constantine,0,DZ,1579889628,56,36.37,6.61,46.4,3.36
lorengau,5,PG,1579889628,70,-2.02,147.27,83.53,5.53
barcelos,40,PT,1579889477,71,41.54,-8.62,55.4,6.93
papara,20,BR,1579889629,62,-3.98,-38.73,87.8,17.22
manta,75,EC,1579889629,74,-0.95,-80.73,86.0,6.93
comodoro rivadavia,64,AR,1579889356,31,-45.87,-67.5,77.0,29.97
iquique,40,CL,1579889482,69,-20.22,-70.14,78.8,8.05
sambava,100,MG,1579889630,99,-14.27,50.17,73.51,1.21
tommot,0,RU,1579889630,87,58.96,126.29,-35.63,3.09
bulgan,11,MN,1579889630,66,48.81,103.53,5.34,3.74
ouallam,12,NE,1579889630,8,14.32,2.09,80.38,10.09
buchanan,38,LR,1579889630,75,5.88,-10.05,83.28,6.91
varca,75,IN,1579889631,61,15.22,73.92,80.6,6.93
saint anthony,90,US,1579889631,86,45.02,-93.22,32.0,8.05
mahajanga,40,MG,1579889631,83,-15.72,46.32,80.6,4.7
taoudenni,100,ML,1579889476,13,22.68,-3.98,81.84,7.16
vangaindrano,44,MG,1579889631,91,-23.35,47.6,70.32,5.28
cody,91,US,1579889561,34,44.53,-109.06,45.0,8.05
batagay,8,RU,1579889526,93,67.63,134.63,-41.17,1.45
shitanjing,0,CN,1579889632,68,39.23,106.34,22.19,1.32
gardiner,1,US,1579889632,59,44.23,-69.78,42.8,4.7
bengkulu,100,ID,1579889588,97,-3.8,102.27,74.03,4.27
alofi,90,NU,1579889428,94,-19.06,-169.92,77.0,5.82
carlisle,90,US,1579889573,61,40.2,-77.19,50.0,10.29
sarkand,100,KZ,1579889633,62,45.41,79.92,25.84,3.49
basoko,87,CD,1579889633,28,1.24,23.62,77.59,1.59
lere,8,NG,1579889633,14,10.39,8.57,71.11,6.46
kamaishi,0,JP,1579889633,57,39.27,141.88,27.68,6.46
ambunti,72,PG,1579889633,98,-4.24,142.84,73.98,1.32
bundaberg,40,AU,1579889634,83,-24.85,152.35,78.8,4.7
correntina,100,BR,1579889491,97,-13.34,-44.64,69.17,4.61
zhigansk,48,RU,1579889634,96,66.77,123.37,-42.92,8.66
bichena,100,ET,1579889634,53,10.45,38.2,54.77,3.94
constitucion,19,CL,1579889634,46,-35.33,-72.42,71.42,11.77
koilas,0,GR,1579889634,75,37.41,23.11,45.36,2.15
aguimes,20,ES,1579889634,63,27.91,-15.45,64.99,2.24
bria,100,CF,1579889635,16,6.54,21.99,72.97,4.74
umtata,75,ZA,1579889635,82,-31.59,28.78,64.4,10.29
rennes,90,FR,1579889635,100,48.17,-1.67,39.0,5.82
port elizabeth,59,ZA,1579889635,82,-33.92,25.57,68.0,11.41
nouadhibou,83,MR,1579889635,64,20.93,-17.03,68.0,13.87
katherine,100,AU,1579889636,94,-14.47,132.27,77.0,6.93
ozark,90,US,1579889636,91,37.02,-93.21,34.0,11.41
lubao,75,PH,1579889636,83,14.92,120.55,77.0,2.24
arauca,75,CO,1579889636,48,7.08,-70.76,87.8,4.7
ketchikan,90,US,1579889636,93,55.34,-131.65,44.6,24.16
tomatlan,75,MX,1579889636,46,19.93,-105.25,85.15,2.91
kahului,1,US,1579889637,82,20.89,-156.47,73.0,8.05
tevriz,78,RU,1579889637,96,57.51,72.4,7.65,3.94
singkang,20,MY,1579889637,74,2.1,102.8,78.8,4.7
san ignacio,20,BZ,1579889637,65,17.16,-89.07,82.4,4.5
atar,19,MR,1579889637,15,20.52,-13.05,89.6,4.7
skovorodino,73,RU,1579889637,97,53.98,123.92,-23.58,0.49
svetlogorsk,100,BY,1579889638,85,52.63,29.73,34.34,14.18
la rioja,75,ES,1579889638,87,42.25,-2.5,46.4,4.03
gat,20,IL,1579889400,71,31.61,34.76,50.0,5.82
namibe,0,AO,1579889638,77,-15.2,12.15,75.51,11.43
ostersund,70,SE,1579889402,80,63.18,14.64,30.2,26.4
lompoc,1,US,1579889638,87,34.64,-120.46,66.99,14.99
kurumkan,41,RU,1579889638,93,54.3,110.3,-13.11,0.69
carutapera,42,BR,1579889639,81,-1.2,-46.02,82.83,14.67
korla,21,CN,1579889639,79,41.76,86.15,12.63,2.98
iqaluit,20,CA,1579889639,67,63.75,-68.51,-23.01,13.87
saint-leu,100,RE,1579889639,94,-21.15,55.28,78.8,16.11
acapulco,20,MX,1579889365,66,16.86,-99.89,84.2,6.82
sergeyevka,99,KZ,1579889639,92,53.88,67.42,11.7,8.63
rocha,0,UY,1579889546,20,-34.48,-54.33,91.51,7.29
soure,55,BR,1579889640,70,-0.72,-48.52,85.62,10.22
babu,100,CN,1579889640,89,24.42,111.52,51.19,7.7
kalispell,90,US,1579889640,93,48.2,-114.31,37.99,4.9
kouango,100,CF,1579889640,15,4.99,19.96,78.37,3.38
argostolion,75,GR,1579889625,81,38.18,20.49,53.6,5.82
shinuhayr,100,AM,1579889641,96,39.44,46.32,22.57,2.28
quatre cocos,75,MU,1579889641,88,-20.21,57.76,81.0,11.41
tougan,76,BF,1579889641,6,13.07,-3.07,85.8,11.05
chitral,100,PK,1579889641,95,35.85,71.79,13.59,1.68
peruibe,60,BR,1579889583,77,-24.32,-47.0,76.44,18.95
mareeba,90,AU,1579889642,94,-17.0,145.43,78.8,2.24
grand gaube,75,MU,1579889642,88,-20.01,57.66,81.0,11.41
bathsheba,20,BB,1579889505,70,13.22,-59.52,84.2,14.99
chuy,0,UY,1579889642,44,-33.7,-53.46,82.09,6.6
ust-maya,100,RU,1579889642,98,60.42,134.53,-37.01,1.83
jhabua,0,IN,1579889642,35,22.77,74.6,63.64,3.53
alta floresta,40,BR,1579889643,74,-9.88,-56.09,86.0,5.82
aden,95,YE,1579889524,70,12.78,45.04,77.45,3.27
havoysund,75,NO,1579889643,79,71.0,24.66,32.0,4.7
nikolayevka,100,RU,1579889643,91,53.13,47.2,15.98,14.97
komsomolskiy,75,UZ,1579889643,63,40.43,71.72,35.6,4.7
barretos,74,BR,1579889587,80,-20.56,-48.57,79.07,4.43
bani,40,DO,1579889644,74,18.28,-70.33,82.4,11.41
kashi,40,CN,1579889644,67,39.45,75.98,23.0,2.24
melilla,20,ES,1579889644,82,35.29,-2.94,60.01,5.82
jieshi,60,CN,1579889644,85,22.81,115.83,68.0,9.46
vestmannaeyjar,90,IS,1579889645,86,63.44,-20.27,33.8,20.8
upata,0,VE,1579889645,34,8.01,-62.4,92.75,2.28
kruisfontein,51,ZA,1579889645,78,-34.0,24.73,71.47,1.5
sarankhola,0,BD,1579889645,43,22.31,89.79,58.69,2.64
koumac,48,NC,1579889645,91,-20.57,164.28,68.97,3.71
floro,75,NO,1579889645,80,61.6,5.03,39.2,6.93
tsagan aman,7,RU,1579889646,76,47.56,46.72,22.35,9.44
korem,100,ET,1579889646,95,12.51,39.52,53.92,6.08
sabha,29,LY,1579889646,18,27.04,14.43,60.35,9.35
mount isa,75,AU,1579889633,94,-20.73,139.5,77.0,5.82
lagoa,100,PT,1579889646,69,39.05,-27.98,57.4,10.2
beringovskiy,100,RU,1579889527,98,63.05,179.32,-0.53,9.46
presidencia roque saenz pena,0,AR,1579889646,30,-26.79,-60.44,93.88,4.94
juarez,1,MX,1579889498,43,31.73,-106.48,55.99,5.46
natal,75,BR,1579889647,66,-5.79,-35.21,86.0,13.87
grand-lahou,1,CI,1579889647,82,5.14,-5.02,82.76,13.62
sarahan,54,IN,1579889647,48,31.52,77.8,9.5,15.41
vicuna,47,CL,1579889647,53,-30.03,-70.71,82.99,12.75
moussoro,23,TD,1579889648,9,13.64,16.49,68.85,11.77
lasa,20,IT,1579889648,64,46.62,10.7,35.6,2.24
koslan,89,RU,1579889648,99,63.46,48.9,-2.54,3.42
tucurui,94,BR,1579889648,74,-3.77,-49.67,85.66,3.74
konstantinovka,0,RU,1579889649,87,49.62,127.98,-11.24,3.96
dillon,20,US,1579889518,63,34.42,-79.37,66.99,14.99
nantucket,1,US,1579889649,75,41.28,-70.1,48.2,5.82
malanje,11,AO,1579889649,92,-9.54,16.34,68.61,5.55
saint-augustin,0,CA,1579889649,70,51.23,-58.65,5.77,15.9
dores do indaia,95,BR,1579889649,92,-19.46,-45.6,74.57,6.76
morondava,48,MG,1579889650,91,-20.28,44.28,77.0,1.57
vaitape,17,PF,1579889650,74,-16.52,-151.75,82.4,14.54
ceska ves,2,CZ,1579889650,59,50.26,17.23,30.99,4.0
alappuzha,27,IN,1579889650,83,9.49,76.33,74.41,2.91
krasnoarmeysk,78,RU,1579889650,77,51.02,45.7,21.99,4.0
honningsvag,75,NO,1579889650,79,70.98,25.97,24.8,4.7
amuntai,82,ID,1579889404,83,-2.42,115.25,76.33,2.08
te anau,100,NZ,1579889651,100,-45.42,167.72,57.78,1.28
asfi,41,MA,1579889651,73,32.3,-9.24,57.96,19.24
dunedin,100,NZ,1579889416,69,-45.87,170.5,68.0,11.03
touba,68,CI,1579889651,10,8.28,-7.68,91.98,4.54
samarai,18,PG,1579889651,90,-10.62,150.67,76.15,3.02
homer,1,US,1579889438,60,59.64,-151.55,15.8,15.32
makakilo city,40,US,1579889465,77,21.35,-158.09,68.0,3.36
shebunino,85,RU,1579889652,92,46.43,141.86,6.42,8.72
katangli,100,RU,1579889652,95,51.71,143.23,-0.11,8.25
portobelo,40,PA,1579889652,55,9.55,-79.65,89.01,8.05
nogliki,100,RU,1579889652,91,51.83,143.17,0.1,14.5
trat,66,TH,1579889652,66,12.5,102.5,84.0,1.72
muswellbrook,100,AU,1579889652,79,-32.27,150.9,75.0,1.01
athabasca,100,CA,1579889524,86,54.72,-113.29,30.11,5.12
kochevo,97,RU,1579889653,96,59.6,54.31,6.73,5.41
esso,100,RU,1579889527,95,55.93,158.7,-7.01,5.21
arlit,60,NE,1579889653,7,18.74,7.39,78.91,10.16
thai binh,75,VN,1579889630,88,20.45,106.33,71.6,4.7
sikonge,75,TZ,1579889653,83,-5.63,32.77,73.4,2.26
hualmay,31,PE,1579889653,51,-11.1,-77.61,81.93,11.65
karratha,0,AU,1579889379,77,-20.74,116.85,84.04,15.03
caravelas,100,BR,1579889654,85,-17.71,-39.25,78.44,20.13
marsh harbour,63,BS,1579889654,63,26.54,-77.06,72.61,8.88
lufilufi,99,WS,1579889654,94,-13.87,-171.6,80.01,4.0
thompson,75,CA,1579889654,85,55.74,-97.86,12.2,4.7
gerash,0,IR,1579889654,65,27.67,54.14,46.4,4.7
nabire,95,ID,1579889655,97,-3.37,135.48,73.51,1.63
kaiyuan,0,CN,1579889655,88,23.7,103.3,48.31,8.79
sibolga,23,ID,1579889655,97,1.74,98.78,72.54,2.57
hay river,75,CA,1579889655,84,60.82,-115.8,8.6,11.1
ponta delgada,40,PT,1579889655,67,37.73,-25.67,57.2,12.75
ca mau,37,VN,1579889655,94,9.18,105.15,72.61,3.85
muroto,62,JP,1579889655,81,33.28,134.15,43.54,5.77
pitimbu,75,BR,1579889656,66,-7.47,-34.81,86.0,10.29
